Name,Roll No,Marks
Ujitha,201501,99
Manasa,201502,60
HariPriya,201503,97
Archana,201504,99
Padma,201505,50
Gayathri,201506,97
Ishaan,201507,73
Aanya,201508,60
Arjun,201509,84
Riya,201510,80
Sai,201511,96
Kavya,201512,86
Krishna,201513,67
Aarohi,201514,85
Manish,201515,72
Saanvi,201516,60
Reyansh,201517,57
Nisha,201518,88
Rithvik,201519,96
Maya,201520,58
Kiran,201521,45
Harsha,201522,91
Sneha,201523,87
Rajesh,201524,94
Meena,201525,58
Tejas,201526,65
Pooja,201527,80
Ajay,201528,95
Swati,201529,55
Nikhil,201530,66
Laxmi,201531,48
Pranav,201532,47
Anjali,201533,71
Rohan,201534,90
Lavanya,201535,97
Gaurav,201536,66
Ira,201537,68
Dev,201538,93
Vishal,201539,59
Shreya,201540,40
Tanvi,201541,84
Suman,201542,68
Karthik,201543,98
Bhavya,201544,67
Mahesh,201545,40
Harini,201546,92
Rachit,201547,57
Deepa,201548,40
Yash,201549,90
Tara,201550,54
